No.,Title ENG,Condition ENG,setup ENG,Option 1 /Thumbs Up ENG:,Option 1 Short,Option 2 /Thumbs Down ENG:,Option 2 Short,Option 3 ENG
1,Car Crash,If player uses a fuel when moving a non-exiled survivor:,"Your headlights cut trough the darkness, random snowflakes scuttling by on a bitter wind. The car is nowhere near as warm as you want, but every drop of fuel is precious. When your windshield begins to fog, you reach down and fumble at the dash for the heat. Suddenly a child walks into your oncoming lights. Instinct takes over before your brain registers that the child is dead, and you jerk hard on the wheel. Wheels screech as your car tumbles off the side of the road. Time slows as the world swirls sickeningly around you.",Wait in the wrecked car for the colony to rescue you. Add a frostbite wound to the moved survivor. Place the moved survivor in the colony (this does not count as a move),Wait in the wrecked car for the colony to rescue you. ,"Make your way to your destination, dazed from the crash. Place the moved survivor in the location it was headed to. Roll for exposure on that survivor 3 times.","Make your way to your destination, dazed from the crash. ",
2,Wavering Loyalties,If the player has more survivors in their following than 1 or more other players:,"""I care about you - I do. That won't ever change. But I can't do this anymore. I'm sorry. I won't tell them what you're up to, but I just can't be part of it any longer. Not now""","""I understand better than you think. Perhaps I knew this day was coming. But your happiness is more important to me than anything, so I won't stand in your way."" Remove a survivor card from your following and add it to the following of a player that has fewer survivors than you.","You care for the person to much, you won’t stand I their way. ","""I see. It doesn't matter how soiled your hands are, but as soon as mine look tarnished, you're ready to walk away? I know what keeps you up at night. I know the stains you'll never be able to wash away. And as soon as you walk away, everyone else will know too."" Roll a die. On a result of 3 or lower, lose 1 morale.",You’re in this together - you let them know that they just can’t walk away. ,
3,Horde,If the player moves a survivor and doesn't play fuel card:,"The snow falls heavily as the world turns white and visibility drops to only a few yards around you. Of course a blizzard would come now. You're not alone though. Another shape moves through the storm, gesticulating wildly as it struggles through the snow. And the another. And still another. Your stomach lurches as you realize you've walked into the middle of a roving horde of the dead. Weighing your options you suspect the reduced visibility may help you pass with minimum detection. But you also have to admit the odds are not in your favor.","You push on doing your best to avoid the, Roll for exposure on that survivor 3 additional times.",,Your goal is important but so is not becoming one of them. Place that survivor back at the location it was moving from (this does not count as a move). That survivor cannot be moved during this turn.,,
4,Addiction,If the player plays a medicine card to heal a survivor:,"Holy crap this is the pure stuff. Most painkillers have a ton of filler, but you've really hit the jackpot now. Oh God, that feels good. It's been so long. When was the last time you felt like this? Hell, when was the last time you felt anything but terror and despair? You want more. Just the thought of not having this feeling again... it's almost too much.",You swallow the rest of the pills all at once and melt into warm oblivion. Kill the survivor that the medicine was used on. Do not reduce morale.,,"Place this card under the survivor that the medicine card was used on. As long as you control this survivor, at the beginning of your turn you may play a medicine card applying its effect to this survivor. If you do not, you must remove 1 of your action dice from the unused action dice pool to the used action dice pool.",,
5,Spoiled,"If the player spends a food, after removing food from the supply but before increasing the action die result:","You stare at the can of stew, desperately hoping you're not seeing what you think you see. Is the can bulging or is it just misshapen from being dropped? You're not in a rush to het botulism, but food isn't exactly plentiful around here","You shake your head. ""I'm sure it's fine. I've got to stop being so paranoid."" Choose a survivor you control and place a wound on it. Proceed to increase the action die result.",,Better to lose a few pounds from hunger than lose everything to illness. You throw the can away. You do not increase your action die result. The food is still spent.,,
6,Maude,If a non-exiled survivor the player controls is at the grocery store:,"A snarling sound catches your attention and you see a zombie caught between two cars. She claws aimlessly toward the sky, her Meat & Stuff uniform stained with old blood. One blow to her head ends her, and you see her name says 'Maude'. She appears to have been crushed against her own car as she was trying to fill her trunk with supplies.",You take the food back to the colony right away. Place the moved survivor in the colony (this does not count as a move) and add 3 food to the supply.,,"You take the food and add it to your pack for later. You want to smile at your good fortune, but for some reason you can't stop thinking about Maude. Reveal cards from the top of the grocery store until you find 2 food cards. Add them to your hand. Shuffle the rest of the revealed cards back into the deck. You cannot play food cards during this turn.",,
7,Sparky,If the player controls Sparky and he is not exiled:,"""There you are Sparks! You're such a good boy aren't you?"" Sparky barks excitedly and turns once in a circle. ""Thanks for visiting me again pal. I wish I could come with you but I can't stand those idiots at your colony. They don't think big you know? But look boy, I've rigged up something to help protect you. I've attached this weapon to one of the pulley rigs we used on the show to make you look like you were flying. I'll just hook you up to the device ... like this. Now, if you pull on this bit with your mouth - BANG! - automatic zombie killing machine. You look like a stone cold killer now!""",Kill 8 zombies at the colony. Do not roll for exposure.,,"""Look everybody, Sparky the Stunt Dog has a gun now!"" Gain 1 morale.",,
8,Maria Lopez,If the player controls Maria and she is not exiled:,"Place Maria at the school, if able (does not count as a move). The halls of the school are empty, and Maria closes her eyes and inhales deeply. It still smells the same, and for a moment she stands there in the silence and it feels like another quiet, early morning, moments before the halls erupt with the arrival of children. She opens her eyes and screams - there are children everywhere, and Maria cowers back against a wall of lockers. But the children do not attack. ""Oh God,"" she says, realization sweeping over her. ""You're alive!"" And she sees the leanness of their bodies and the starvation in their faces.","""I know where there is some food."" Remove 3 food from the supply. ""For me? Thank you sweetie!"" Search the school deck for 3 cards of your choice and add it to your hand.",,There isn't much you can do for them. You unlock the school pantry as you leave. Search the school deck for all food cards and remove them from the game.,,
9,Brian Lee,If the player controls Brian and Brian is at the colony:,"Brian had thought his days of politicking were over, but now he wonders if that isn't the best way he could contribute to the colony. And so he clears his throat, and steps up to the podium.","My friends! Who among us does not feel great pride, when they look about and see the great works we have accomplished here? And Yet, despite our progress, medical care has proven insufficient at best. I have a plan to seize the hospital and ensure we have access to the supplies we need."" Remove all zombies from the hospital and place 4 barricades there.",,"""I look out at your faces today and see one of the most dedicated work forces I've ever known. But so too do I see hunger. It's time to reward our hard work with adequate food supplies. I have a plan to take and hold the grocery store, something that would change the course of our future forever."" Remove all zombies from the grocery store and place 4 barricades there.",,
10,Lover's Quarrel,If 2 human survivors the player controls share a non-colony location:,"""I don't like how much time you've been spending with him.""
""You can't be serious. Not now. The whole world has fallen to pieces. We're only barely able to keep ourselves alive, and now you want to revisit your jealousy issues? Grow up.""","""Grow up? I'm not the one using the end of the world to act like a whore! At least now I know just how low you'll let yourself sink!"" Add 4 noise tokens to the location the lovers share.",,"""It's not that I don't trust you. It's him. You haven't seen his eyes follow you when you walk away. C'mon. Let's get away and I'll show you just how grown up I am."" The lovers cannot attack, search or move for the remainder of this turn.",,
11,Mugging,If a non-exiled survivor that the player controls shares a location with an exiled survivor:,"Rough hands grab you from behind, and your head is slammed into a wall. You try to stagger to your feet, but you end up sprawled on the ground at someone's boots. Your attacker kneels down and a low voice whispers. ""I just want your gear. I can kill you for it, or you can spare yourself a lot of trouble and hand it over. Please believe that I'm perfectly happy to do it either way.""",Give all but 1 card in your hand to the player who controls the exiled survivor.,,"You attempt to fight back. Add 2 wounds to a survivor you control that shares a location with an exiled survivor. Or, if you have a weapon, you may instead kill the exiled survivor and add only 1 wound to your survivor.",,
12,Hunger,If the player adds a male survivor and a helpless survivor to the colony:,"The new guy says. ""Hey man, I appreciate the offer to join your colony, but you see that dude over there? That's Fat Earl. I know you don't like him. I don't really like him either. But his mother was a good woman, and I swore to her that I'd always keep him with me.""",Fat Earl eats all the food. Remove all of the food from your supply.,,"The new guy looks at the sandwich in his hands with disgust, the stale bun covering smoked, greasy meal that smells almost like pork. Almost. A tear runs down his face, and he whispers. ""Always with me."" before taking a bite. Add 5 food to your supply and lose 1 morale.",,
13,Thin Ice,If the player moves a survivor:,"The lake has frozen over, creating a tempting shortcut. You wouldn't have dared risk it in the life you had before, but the rules have all changed, and so has the cost of survival. The prospect of having more time to search has you seriously considering it. You place one foot on the ice and hear it creak. Is that normal? Probably. Another foot produces a similar noise. Are you really going to do this?","Roll a die. On a result of 1-3, the moved survivor receives 1 frostbite wound, on a result of 4-6, search through a item deck of your choice for a card of your choice and add it to your hand.",,You turn away. It isn't worth it. Nothing happens.,,
14,Helpless,If a survivor the player controls is at the colony:,"""Don't pretend I'm the only one who's thought about this. We all have. I've seen it in your faces. These people use up all our resources, but contribute nothing. I'm not trying to be cruel - just survive.""
I can't believe you're even talking about this. You know it would be murder to leave these people to the dead. Is survival worth sacrificing our own humanity? Are we no better than the monsters we hide from? Every player with 1 or more survivors at the colony must vole with a thumbs up or down. The option with the most votes takes effect.",Remove all helpless survivor tokens in the colony from the game. Lose 1 morale for every 2 helpless survivors removed (round up).,,Nothing happens.,,
15,Christmas,If a survivor the player controls is at the colony:,"""I was talking to a couple other people, and well, we think tomorrow might be Christmas. Maybe it's a stupid thing to hold onto, but I think people could use a distraction. What if we made dinner for everyone? A real dinner. I mean."" Every player with 1 or more survivors at the colony must vote with a thumbs up or down. The option with the most votes takes effect.","Spend 5 food. Gain I morale. If Forest Plum is in play and isn't exiled, the player that controls Forest Plum may draw up to 4 cards from the Grocery Store deck. He must reveal them and give each of them to another player of his choice.",,Nothing happens.,,
16,Talia Jones,If the player controls Talia:,"Most fortune tellers are grifters, and sure, maybe you kind of are too, but you don't ply your trade by simply predicting things that could apply to anyone. Your mother trained you to be always vigilant and constantly analyzing the world around you. As a result, your brain processes an almost obscene level of detail, allowing you to predict events with surprising accuracy. Not that you'll admit your secret anyone else...",You connect the dots to realize where that lost cache of supplies must be hidden. Choose a item deck. Search that deck for 4 cards of your choice. Add them to your hand then shuffle the chosen deck.,,"You see a pattern in past events, and realize the colony is in grave danger. The next time a crisis is revealed, remove ii from the game and skip the crisis step that round.",,
17,Arthur Thurston,If the player controls Arthur and he is not exiled:,"Place Arthur at the school if able, (this does not count as a move). The school smells musty, and Arthur frowns at this. It is hard to be here and not let the principal in him take over, Maybe someday the nightmare will end and he can return and clean the place up. Suddenly a little pair of hands reaches out from under a desk and grabs hold of his ankles. He realizes it's a kid, and not a dead one either. But the little monster is filthy and feral looking. Another child's hand snaps out of the darkness and seizes around his left wrist. And before he can react, they are all over him.","Arthur lights the kids off, but is hurt badly. Add 2 wounds to Arthur.",,"He fires his weapon into the tangle of small bodies. The kids scatter, but he tastes warm blood on his lips. Heaven help me, he thinks. I was wrong. Things can never go back to the way they were. Lose 1 morale.",,
